polymer_name,membrane_type,thickness_um,permeability_LMH_bar,pore_size_nm,MWCO,porosity,surface_charge,hydrophilicity,membrane_area_cm2,baseline_rejection_percent,fouling_coefficient,water_contaminant,water_feed_concentration_mg_L,water_turbidity_NTU,water_TDS_mg_L,water_pH,water_temperature_C,water_viscosity_Pa_s,water_density_kg_m3,op_TMP_bar,op_feed_flow_L_min,op_crossflow_velocity_m_s,op_recovery_percent,op_operating_time_hr,op_temperature_C,op_membrane_area_m2,op_pump_efficiency,op_electricity_price_per_kwh,flux_LMH,initial_flux_LMH,rejection_percent,permeate_mg_L,flux_decline_percent,energy_kWh_m3,cost_per_m3,feasibility_score,flux_model,rejection_model,scientific_note,physics_model,rejection_score,flux_score,fouling_score,energy_score,cost_score,dataset_type
Custom Polymer,MF,225.05043547850565,86.00119407122686,70.03943487687702,9870.64611482113,0.7829356461457292,0.5222794039807059,0.7860643052769538,10000,56.39287027050974,0.07030596099485724,Custom contaminant,377.0900439902554,92.67649888486018,1967.2088482339273,8.93656967962498,23.302425964819932,0.001,1000.0,4.699326691338583,28.174654563775906,0.07317908354313357,67.07233789944365,15.344113379368524,23.302425964819932,7.605068626845201,0.7,8,137.41393381656331,404.1477067859059,56.39287027050974,164.43814467982256,65.99908115045739,0.18648121805944623,1.4918497444755698,65.77632062597728,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,59.36091607422078,100.0,0.0,100,100,synthetic_physics
Custom Polymer,RO,183.7177243836355,97.09910441509543,89.41899101089757,77949.1579588393,0.23624709549637732,-0.06655799254593164,0.04380376578722878,10000,57.69904565417064,0.10404209822015592,Custom contaminant,747.314534348739,96.750973243421,1044.8935386006406,6.222758236209213,24.086674338274236,0.001,1000.0,3.951532909868857,7.3661537614381105,0.4809478769636744,22.01820117881631,16.240628875038993,24.086674338274236,4.427803996836074,0.7,8,70.81895065009189,383.690306615042,57.69904565417064,316.1211799946073,81.54267923136645,0.15680686162817792,1.2544548930254233,66.25754313574708,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,60.735837530705936,100.0,0.0,100,100,synthetic_physics
Custom Polymer,MF,353.1298999811021,31.924297496822067,83.39372033812491,80574.05357093179,0.37123486532112215,-0.4233437921395118,0.6824955039749755,10000,56.97364893210456,0.0339866893588907,Custom contaminant,17.288647053495456,78.69243775021384,2028.0674841168932,8.23099227175801,33.42187093065904,0.001,1000.0,9.28653235565913,28.868318601691794,0.14839902814638087,13.589755515198009,16.207469602076085,33.42187093065904,4.763852440817012,0.7,8,170.90269834387502,296.46602163592587,56.97364893210456,7.438673976126316,42.353360631070395,0.3685131890114427,2.9481055120915416,65.990291711828,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,59.97226203379428,100.0,0.0,100,100,synthetic_physics
Custom Polymer,RO,286.9656921757825,76.73488688418654,63.83711368005849,55581.15036547058,0.4914450125217895,-0.3920998038747756,0.030817834567939406,10000,71.79219772269488,0.03611477755883173,Custom contaminant,414.4433572873898,85.34030732681661,778.4245090094881,4.349816450134396,18.441516760659894,0.001,1000.0,6.013156403780336,33.43390922161786,0.5614618308178656,63.792365682981014,16.111368197693608,18.441516760659894,4.1232299282566975,0.7,8,257.86798748269393,461.418876461006,71.79219772269488,116.90536277505213,44.114122625304844,0.23861731780122467,1.9089385424097973,71.44975705572969,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,75.57073444494198,100.0,0.0,100,100,synthetic_physics
Custom Polymer,UF,91.81673075477491,3.248495240252187,9.914738216788534,72374.7553843468,0.42331406117597126,-0.6774564419327964,0.5010447751033635,10000,57.6003739253871,0.10596645438627172,Custom contaminant,451.6947128182904,38.10212260964825,974.3850585288419,7.781695558713331,20.85437831660171,0.001,1000.0,1.9354684024587998,6.7822892039052505,0.9622786879040194,73.14355180307052,16.943117644552615,20.85437831660171,2.732112618449244,0.7,8,1.0440831675822593,6.287359893045916,57.6003739253871,191.5168692337517,83.39393345787222,0.07680430174631646,0.6144344139705317,42.09125969988222,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,60.63197255303906,3.4802772252741976,0.0,100,100,synthetic_physics
Custom Polymer,RO,484.8964249003847,78.09633949261367,71.97212872674056,45211.469463306974,0.29056909329161135,-0.8072180756930014,0.9026023965438417,10000,72.74323686269719,0.034342687895308394,Custom contaminant,312.897057909146,57.9219568941896,612.641070523772,9.139685704554253,32.7555858950563,0.001,1000.0,14.445366527828549,22.172558948980083,0.6310357522954188,48.807347668455165,15.77139513653827,32.7555858950563,0.9359987792849019,0.7,8,656.3438367588197,1128.1302484525363,72.74323686269719,85.28560993788513,41.82020758160409,0.57322883092797,4.58583064742376,71.80013989678318,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,76.57182827652336,100.0,0.0,100,100,synthetic_physics
Custom Polymer,RO,30.390945192327315,49.905091105207376,33.656260020945744,14880.156792171667,0.17238207740578615,0.1752891443554241,0.1705929685368861,10000,96.16349390700219,0.08925386525655726,Custom contaminant,353.4011064894887,59.091549148141674,166.13122598612273,9.751355279448672,24.46910310828701,0.001,1000.0,15.698157499555666,5.05376999619949,0.4917917475297787,41.80302457658907,22.538921691912098,24.46910310828701,5.760107718523146,0.7,8,104.79232062706902,783.41798019922,96.16349390700219,13.558254983190894,86.62370238165573,0.6229427584172299,4.983542067337839,80.0,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,100.0,100.0,0.0,100,100,synthetic_physics
Custom Polymer,UF,242.00980651790738,27.430590646097464,33.82533073691267,52306.90404591801,0.40723802221353267,-0.9567758402393391,0.8262919241943578,10000,94.71842251480436,0.02533611790479856,Custom contaminant,558.4957821036589,10.857574113544356,2049.496269815454,5.68740270303405,29.782679040757053,0.001,1000.0,14.594493362880275,38.66372710396519,0.1166635364963376,73.7008883853206,5.910028786029699,29.782679040757053,0.4703843061441798,0.7,8,344.66259123751536,400.3355731243552,94.71842251480436,29.497387483354167,13.906578786478786,0.5791465624823758,4.633172499859007,85.98968214002808,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,99.70360264716248,100.0,30.467106067606075,100,100,synthetic_physics
Custom Polymer,MF,191.751919092595,83.1491845701089,81.01689573436587,32055.319835860177,0.7670295765488215,-0.41816432371976275,0.5150571292317145,10000,62.77265801932338,0.14072631765709967,Custom contaminant,172.96173940619798,4.491061939232899,1361.78147400881,9.954253384335022,36.75031798764742,0.001,1000.0,15.022438785247594,44.64883205304772,0.8945121733008846,43.91437702898368,7.924332718023636,36.75031798764742,7.742923077898781,0.7,8,409.53371741227807,1249.1035352477147,62.77265801932338,64.38905822447204,67.21378926118709,0.5961285237010138,4.76902818960811,68.12676874396124,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,66.07648212560355,100.0,0.0,100,100,synthetic_physics
Custom Polymer,NF,334.21401895220293,37.9921151584973,10.352200138090012,74805.56632922808,0.2837223611460053,0.8736263010675585,0.24097057500568475,10000,56.12562082733315,0.12551133745811138,Custom contaminant,161.7514734582491,17.926830815773908,1838.2100954104462,9.247372245024787,15.893039971437197,0.001,1000.0,6.344408723421877,39.0928370738177,0.9721081618003576,42.55558896517567,3.881591309954393,15.893039971437197,0.2379692483111953,0.7,8,148.0823939324373,241.03750683281876,56.12562082733315,70.96745478244779,38.56458445898804,0.2517622511308494,2.014098009046795,65.67786030480696,Permeability model: J = A × TMP,User-provided baseline rejection,Screening-level approximation; requires experimental validation.,simple,59.079600870877,100.0,0.0,100,100,synthetic_physics
